LEA_NAME	ST	ADDRESS	WEBSITE_CCD	SY_STATUS	OPERATIONAL_SCHOOLS	LEA_TYPE	LEA_TYPE_TEXT	CHARTER_LEA_TEXT	AGCHRT	SURVYEAR
Academy of International Studies	MI	"3056 Hanley St, Hamtramck, MI 48212 "	www.academyofinternationalstudies.com	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy of Mathematics and Science Inc. 1	AZ	"1557 West Prince Road, Tucson, AZ 85705 "	www.amstucson.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy of Mathematics and Science Inc. 2	AZ	"6633 W. Camelback Rd., Phoenix, AZ 85033 "		3	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy of Mathematics and Science South  Inc.	AZ	"1557 West Prince Road, Tucson, AZ 85705 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy of Personalized Excellence	MN	"569 MONTCALM PLACE, SAINT PAUL, MN 55116 "		7	0	7	Independent charter district	LEA for federal programs		2016
ACADEMY OF THE CITY CHARTER SCHOOL	NY	"31-29 60TH ST, WOODSIDE, NY 11377 "	www.academyofthecity.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
Academy Of the Pacific Rim Charter Public (District)	MA	"1 Westinghouse Plaza, Hyde Park, MA 2136 "	www.pacrim.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACADEMY OF TRADES AND TECH	NM	"2551 KARSTEN CT SE, ALBUQUERQUE, NM 87106 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy of Tucson  Inc.	AZ	"10720 E. 22nd Street, Tucson, AZ 85748 "	bud@at.tuccoxmail.com	1	3	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy of Warren	MI	"13943 EAST 8 MILE RD, WARREN, MI 48089 "	www.charteracademies.com/academy-of-warren/	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy of Waterford	MI	"3000 SASHABAW RD, WATERFORD, MI 48329 "	www.charteracademies.com/academy-of-waterford/index.htm	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy School District No. 20 in the county of El Paso an	CO	"1110 CHAPEL HILLS DRIVE, COLORADO SPRINGS, CO 80920 "	www.asd20.org	1	36	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Academy with Community Partners  Inc	AZ	"433 North Hall, Mesa, AZ 85203 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Acadia Academy	ME	"12 Westminster Street, Lewiston, ME 4240 "	http://www.acadiaacademy.org	3	1	7	Independent charter district	LEA for federal programs		2016
Acadiana Renaissance Charter Academy	LA	"205 Vienne, Lafayette, LA 70507 "		3	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Accelerated Achievement Academy of Cincinnati	OH	"415 W Court St, Cincinnati, OH 45203 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Accelerated Elementary and Secondary Schools	AZ	"5245 N. Camino de Oeste, Tucson, AZ 85745 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACCELERATED INTERMEDIATE ACADEMY	TX	"12825 SUMMIT RIDGE, HOUSTON, TX 77085 "	www.aiacharterschools.org	1	4	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Accelerated Learning Center  Inc.	AZ	"4105 E. Shea Blvd, Phoenix, AZ 85028 "		1	1	7	Independent Charter District	A charter district which is not an LEA for any federal program.	1	2015
Acceleration Day and Evening Acad	AL	"3100 Cottage Hill Rd, Mobile, AL 36606 "	http://www.maef.net	3	1	7	Independent charter district	LEA for IDEA		2016
Acclaim Charter School	AZ	"7624 W. Indian School Rd., Phoenix, AZ 85033 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACE Academy (SDA)	MI	"330 GLENDALE ST, HIGHLAND PARK, MI 48203 "	www.aceacademysda.com	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACE LEADERSHIP HIGH SCHOOL	NM	"800 20TH ST NW, ALBUQUERQUE, NM 87104 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACE Preparatory Academy	IN	"5326 Hillside Ave, Indianapolis, IN 46220 "	http://aceprepacademy.org/	3	1	7	Independent charter district	LEA for federal programs		2016
Achieve Career Preparatory Academy	OH	"301 Collingwood Blvd, Toledo, OH 43604 "	http://www.achieveprep.com	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Achieve Charter Academy	MI	"3250 DENTON RD, CANTON, MI 48188 "	http://www.nhaschools.com/schools/achieve/en/pages/default.aspx	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACHIEVE LANGUAGE ACADEMY	MN	"2169 STILLWATER AVE, SAINT PAUL, MN 55119 "	www.achievemn.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL	NY	"350 LINWOOD ST, BROOKLYN, NY 11208 "	www.achievementfirst.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL	NY	"982 HEGEMAN AVE, BROOKLYN, NY 11208 "	www.achievementfirst.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL	NY	"2021 BERGEN ST-RM 149, BROOKLYN, NY 11233 "	www.achievementfirst.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL	NY	"1300 GREENE AVE, BROOKLYN, NY 11237 "	www.achievementfirst.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL	NY	"1485 PACIFIC ST, BROOKLYN, NY 11213 "	www.achievementfirst.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL	NY	"557 PENNSYLVANIA AVE, BROOKLYN, NY 11207 "	www.achievementfirst.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL	NY	"510 WAVERLY AVE, BROOKLYN, NY 11238 "	www.achievementfirst.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
Achievement First Hartford Ac	CT	"395 Lyme Street, Hartford, CT 6112 "		1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL	NY	"800 VAN SICLEN AVE, BROOKLYN, NY 11207 "		1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHOOL	NY	"200 WOODBINE ST, BROOKLYN, NY 11221 "		1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
Achievement First Rhode Island	RI	"370 Hartford Avenue, Providence, RI 2909 "		1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL	NY	"15 SNYDER AVE, BROOKLYN, NY 11226 "		3	1	7	Independent charter district	LEA for federal programs		2016
Achievement House CS	PA	"600 Eagleview Boulevard, Exton, PA 19341 "	http://www.achievementcharter.com/	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Achievement Prep Academy PCS	DC	"908 Wahler Pl SE, Washington, DC 20032 "	www.aprepacademy.org	1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Achievement School District	TN	"710 James Robertson PW, Nashville, TN 37243 "		1	30	1	Regular local school district that is NOT a component of a supervisory union	State does not have charters or state does not permit charter LEAs	2	2015
Ackerman Charter	CA	"13777 Bowman Rd., Auburn, CA 95603 "	www.bowmancharter.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Acorn Montessori Charter School	AZ	"8556 East Loos Drive, Prescott Valley, AZ 86314 "	www.acornmontessori.com	1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACT Academy Cyber CS	PA	"2111 Eastburn Avenue, Philadelphia, PA 19138 "	www.actacademy.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Acton-Agua Dulce Unified	CA	"32248 N. Crown Valley Rd., Acton, CA 93510 "	www.aadusd.k12.ca.us	1	22	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Ad Prima CS	PA	"5901 Woodbine Ave, Philadelphia, PA 19135 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ADAMS 1 MAPLETON	CO	"591 East 80th Avenue, Denver, CO 80229 "		1	0	4	Regional Education Service Agency (RESA)	State has charter LEAs but this LEA is not a charter LEA	N	2015
Adams 12 Five Star Schools	CO	"1500 E 128TH AVENUE, THORNTON, CO 80241 "	http://www.adams12.org	1	53	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
ADAMS 12 NORTHGLENN	CO	"1500 East 128th Avenue, Thornton, CO 80241 "		1	0	4	Regional Education Service Agency (RESA)	State has charter LEAs but this LEA is not a charter LEA	N	2015
ADAMS 14 COMMERCE CITY	CO	"5291 East 60th Avenue, Commerce City, CO 80022 "		1	0	4	Regional Education Service Agency (RESA)	State has charter LEAs but this LEA is not a charter LEA	N	2015
ADAMS 27J BRIGHTON	CO	"18551 East 160th Avenue, Brighton, CO 80601 "		1	0	4	Regional Education Service Agency (RESA)	State has charter LEAs but this LEA is not a charter LEA	N	2015
ADAMS 50 WESTMINSTER	CO	"4476 West 68th Avenue, Westminster, CO 80030 "		1	0	4	Regional Education Service Agency (RESA)	State has charter LEAs but this LEA is not a charter LEA	N	2015
ADAMS COUNTY BOCES	CO	"1400 W. 122ND AVE, WESTMINSTER, CO 80234 "	www.adamsboces.org	1	0	4	Regional Education Service Agency (RESA)	State has charter LEAs but this LEA is not a charter LEA	N	2015
ADAMS-ARAP 28J AURORA	CO	"15751 East First Avenue, Aurora, CO 80011 "		1	0	4	Regional Education Service Agency (RESA)	State has charter LEAs but this LEA is not a charter LEA	N	2015
Adelanto Elementary	CA	"11824 Air Expressway, Adelanto, CA 92301 "	www.aesd.net	1	16	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Advanced Math and Science Academy Charter (District)	MA	"201 Forest Street, Marlborough, MA 1752 "	www.amsacs.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Advanced Technology Academy	MI	"4801 OAKMAN BLVD, DEARBORN, MI 48126 "	atafordpas.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ADVANTAGE ACADEMY	TX	"618 W WHEATLAND RD, DUNCANVILLE, TX 75116 "	www.advantageisd.com	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Advantage Charter Academy	LA	"14740 Plank Rd, Baker, LA 70714 "		3	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
AEA 11 Heartland AEA	IA	"6500 Corporate Dr, Johnston, IA 50131 "	www.heartlandaea.org	1	0	4	Regional Education Service Agency (RESA)	State does not have charters or state does not permit charter LEAs	N	2015
AEA 13 Green Hills AEA	IA	"24997 Highway 92, Council Bluffs, IA 51502 "	www.ghaea.org	1	0	4	Regional Education Service Agency (RESA)	State does not have charters or state does not permit charter LEAs	N	2015
AEA 267	IA	"3712 Cedar Heights Dr, Cedar Falls, IA 50613 "	www.aea267.k12.ia.us	1	0	4	Regional Education Service Agency (RESA)	State does not have charters or state does not permit charter LEAs	N	2015
AFSA HIGH SCHOOL	MN	"100 VADNAIS BLVD, VADNAIS HEIGHTS, MN 55127 "	www.afsahighschool.com	1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
AGAMIM CLASSICAL ACADEMY	MN	"1503 BOYCE STREET, HOPKINS, MN 55343 "	http://www.agamim.org	3	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
AGBU Alex-Marie Manoogian School	MI	"22001 NORTHWESTERN HWY, SOUTHFIELD, MI 48075 "	www.manoogian.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Agora Cyber CS	PA	"590 N Gulph Road, King of Prussia, PA 19406 "	http://www.agoraeagles.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Ahwatukee Foothills Prep  Inc.	AZ	"10210 South 50th Place, Phoenix, AZ 85044 "		1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Ahwatukee Foothills Prep Early College High School  Inc.	AZ	"10210 S. 50th Place, Phoenix, AZ 85044 "	http://afprephigh.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
AIBT Non-Profit Charter High School - Phoenix	AZ	"6049 N. 43rd Ave., Phoenix, AZ 85019 "	http://www.rcbhighschool.com	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Aiken 01	SC	"1000 Brookhaven Drive, Aiken, SC 29803 "		1	40	1	Regular local school district that is NOT a component of a supervisory union	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	2	2015
Akili Academy of New Orleans	LA	"2013 General Meyer Avenue, New Orleans, LA 70122 "		3	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Akimel O'Otham Pee Posh Charter School Inc. 1	AZ	"3652 E. Blackwater School Road, Coolidge, AZ 85128 "	http://www.bwcs.bia.edu	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Akimel O'Otham Pee Posh Charter School Inc. 2	AZ	"3652 E. Blackwater School Road, Coolidge, AZ 85128 "	http://www.bwcs.k12.az.us	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Akron Digital Academy	OH	"133 Merriman Rd, Akron, OH 44303 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Akron Preparatory School	OH	"1200 E Market St Ste 3360, Akron, OH 44305 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Akros Middle School	OH	"265 Park St, Akron, OH 44304 "	www.akros4kids.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ALACHUA	FL	"620 E UNIVERSITY AVE, GAINESVILLE, FL 32601 "	http://www.sbac.edu/pages/ACPS	1	70	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Alameda Cnty. Student Exchange Prog.	CA	"313 W. Winton Ave., Hayward, CA 94544 "		1	0	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	N	2015
Alameda County Office of Education	CA	"313 W. Winton Ave., Hayward, CA 94544 "	www.acoe.org	1	12	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Alameda Unified	CA	"2060 Challenger Dr, Alameda, CA 94501 "	www.alameda.k12.ca.us	1	22	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
ALBANY COMMUNITY CHARTER SCHOOL	NY	"65 KRANK ST, ALBANY, NY 12202 "	www.albanycommunitycs.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS	NY	"19 HACKETT BLVD, ALBANY, NY 12208 "	www.albanyleadershiphigh.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
Albany School District	WI	"400 5th St, Albany, WI 53502 "	www.albany.k12.wi.us	1	3	1	Regular local school district that is NOT a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	2	2015
Albany School District	NH	"176A Main St., Conway, NH 3818 "	http://sau9.org/	1	0	2	Local school district that is a component of a supervisory union	State has charter LEAs but this LEA is not a charter LEA	N	2015
